wavelength(nm), irradiance (watts/m^2/nm)
175.365, 0.0010736090873630544
175.37, 0.0010744679634186185
175.375, 0.0010759757983097786
175.38, 0.00107814217432493
175.385, 0.0010809766737524661
175.39, 0.0010844888788807815
175.395, 0.0010886883719982967
175.4, 0.0010935847353933574
175.405, 0.0010991875513543805
175.41, 0.0011055064021697606
175.415, 0.0011125508701278913
175.42, 0.0011203303716533482
175.425, 0.00112881916004103
175.43, 0.0011379130349990845
175.435, 0.0011474971809513565
175.44, 0.0011574567823216437
175.445, 0.0011676770235337457
175.45, 0.0011780430890114605
175.455, 0.0011884401631786455
175.46, 0.0011987534304589813
175.465, 0.0012088680752763237
175.47, 0.0012186692820544734
175.475, 0.0012280416316848917
175.48, 0.0012368462427394986
175.485, 0.0012449137554073142
175.49, 0.0012520727729555868
175.495, 0.0012581518986517087
175.5, 0.0012629797357630226
175.505, 0.001266384887556871
175.51, 0.001268195957300597
175.515, 0.0012682415482615436
175.52, 0.0012663502637070374
175.525, 0.0012623507069044414
175.53, 0.001256091351122416
175.535, 0.0012477179837234766
175.54, 0.0012376052650483241
175.545, 0.0012261337428454589
175.55, 0.0012136839648633074
175.555, 0.0012006364788505128
175.56, 0.001187371832555507
175.565, 0.00117427057372679
175.57, 0.0011617132501128607
175.575, 0.00115008040946222
175.58, 0.0011397525995233127
175.585, 0.0011310295775752858
175.59, 0.001123887939019213
175.595, 0.0011182234887867583
175.6, 0.0011139320318095866
175.605, 0.001110909373019362
175.61, 0.001109051317347741
175.615, 0.0011082536697264091
175.62, 0.0011084122350870163
175.625, 0.0011094228183612268
175.63, 0.001111181224480705
175.635, 0.0011135838019343733
175.64, 0.001116548029999562
175.645, 0.001120018837595156
175.65, 0.001123942988145725
175.655, 0.0011282672450758971
175.66, 0.0011329383718102824
175.665, 0.0011379031317734903
175.67, 0.0011431082883901307
175.675, 0.0011485006050848444
175.68, 0.0011540268452821798
175.685, 0.0011596337724067763
175.69, 0.0011652630551021728
175.695, 0.001170818708395548
175.7, 0.001176187870851782
175.705, 0.0011812576014298278
175.71, 0.0011859149590885529
175.715, 0.0011900470027869112
175.72, 0.0011935407914838293
175.725, 0.0011962833841382319
175.73, 0.0011981618397090437
175.735, 0.0011990632171551933
175.74, 0.0011988750018402715
175.745, 0.0011975750769193335
175.75, 0.0011953430149594722
175.755, 0.001192385678427085
175.76, 0.0011889099297885694
175.765, 0.001185122631510322
175.77, 0.0011812306460587184
175.775, 0.0011774408359002007
175.78, 0.0011739600635011442
175.785, 0.0011709951913279457
175.79, 0.0011687530818470027
175.795, 0.0011674203773099794
175.8, 0.0011670342799440265
175.805, 0.0011675650125149931
175.81, 0.001168982481847866
175.815, 0.0011712565947676356
175.82, 0.0011743572580992926
175.825, 0.0011782543786678277
175.83, 0.0011829178632982592
175.835, 0.001188317618815526
175.84, 0.0011944235520446429
175.845, 0.0012012032201566573
175.85, 0.0012085328375256213
175.855, 0.0012161699610015112
175.86, 0.0012238642173522931
175.865, 0.0012313652333458007
175.87, 0.0012384226357500007
175.875, 0.001244786051332816
175.88, 0.0012502051068621683
175.885, 0.0012544294291059815
175.89, 0.0012572086448321767
175.895, 0.001258292380808679
175.9, 0.0012575190705795397
175.905, 0.0012550823747934133
175.91, 0.0012512647608750843
175.915, 0.001246348696249339
175.92, 0.001240616648340963
175.925, 0.001234351084574705
175.93, 0.0012278344723754232
175.935, 0.0012213492791678694
175.94, 0.0012151779723768288
175.945, 0.0012096030194270876
175.95, 0.001204894304472764
175.955, 0.0012011334286550176
175.96, 0.0011982570524788686
175.965, 0.001196198108072777
175.97, 0.0011948895275652267
175.975, 0.0011942642430847015
175.98, 0.0011942551867596852
175.985, 0.0011947952907186666
175.99, 0.0011958174870901226
175.995, 0.0011972547080025392
176.0, 0.0011990405194466686
176.005, 0.0012011331288089692
176.01, 0.0012035227535204809
176.015, 0.001206201750297401
176.02, 0.0012091624758559442
176.025, 0.001212397286912274
176.03, 0.0012158985401826044
176.035, 0.0012196585923831323
176.04, 0.0012236698002300553
176.045, 0.0012279245204395706
176.05, 0.001232414948922116
176.055, 0.0012370991907614355
176.06, 0.0012418592899046074
176.065, 0.0012465669987283849
176.07, 0.0012510940696095238
176.075, 0.0012553122549247768
176.08, 0.0012590933070509179
176.085, 0.0012623089783646581
176.09, 0.0012648310212427746
176.095, 0.0012665311880620202
